Country,ISO3 Code,Datetime (UTC),Datetime (Local),Power (MW)
United Kingdom,GBR,2024-01-01 00:00:00,2024-01-01 00:00:00,0
United Kingdom,GBR,2024-01-01 00:30:00,2024-01-01 00:30:00,0
United Kingdom,GBR,2024-01-01 01:00:00,2024-01-01 01:00:00,0
United Kingdom,GBR,2024-01-01 01:30:00,2024-01-01 01:30:00,0
United Kingdom,GBR,2024-01-01 02:00:00,2024-01-01 02:00:00,0
United Kingdom,GBR,2024-01-01 02:30:00,2024-01-01 02:30:00,0
United Kingdom,GBR,2024-01-01 03:00:00,2024-01-01 03:00:00,0
United Kingdom,GBR,2024-01-01 03:30:00,2024-01-01 03:30:00,0
United Kingdom,GBR,2024-01-01 04:00:00,2024-01-01 04:00:00,0
United Kingdom,GBR,2024-01-01 04:30:00,2024-01-01 04:30:00,0
United Kingdom,GBR,2024-01-01 05:00:00,2024-01-01 05:00:00,0
United Kingdom,GBR,2024-01-01 05:30:00,2024-01-01 05:30:00,0
United Kingdom,GBR,2024-01-01 06:00:00,2024-01-01 06:00:00,0
United Kingdom,GBR,2024-01-01 06:30:00,2024-01-01 06:30:00,0
United Kingdom,GBR,2024-01-01 07:00:00,2024-01-01 07:00:00,0
United Kingdom,GBR,2024-01-01 07:30:00,2024-01-01 07:30:00,0
United Kingdom,GBR,2024-01-01 08:00:00,2024-01-01 08:00:00,0
United Kingdom,GBR,2024-01-01 08:30:00,2024-01-01 08:30:00,0.000073
United Kingdom,GBR,2024-01-01 09:00:00,2024-01-01 09:00:00,0.019621
United Kingdom,GBR,2024-01-01 09:30:00,2024-01-01 09:30:00,0.095705
United Kingdom,GBR,2024-01-01 10:00:00,2024-01-01 10:00:00,0.199092
United Kingdom,GBR,2024-01-01 10:30:00,2024-01-01 10:30:00,0.295047
United Kingdom,GBR,2024-01-01 11:00:00,2024-01-01 11:00:00,0.341546
United Kingdom,GBR,2024-01-01 11:30:00,2024-01-01 11:30:00,0.374442
United Kingdom,GBR,2024-01-01 12:00:00,2024-01-01 12:00:00,0.330695
United Kingdom,GBR,2024-01-01 12:30:00,2024-01-01 12:30:00,0.281515
United Kingdom,GBR,2024-01-01 13:00:00,2024-01-01 13:00:00,0.257392
United Kingdom,GBR,2024-01-01 13:30:00,2024-01-01 13:30:00,0.199205
United Kingdom,GBR,2024-01-01 14:00:00,2024-01-01 14:00:00,0.119288
United Kingdom,GBR,2024-01-01 14:30:00,2024-01-01 14:30:00,0.071056
United Kingdom,GBR,2024-01-01 15:00:00,2024-01-01 15:00:00,0.0291
United Kingdom,GBR,2024-01-01 15:30:00,2024-01-01 15:30:00,0.005327
United Kingdom,GBR,2024-01-01 16:00:00,2024-01-01 16:00:00,0.000036
United Kingdom,GBR,2024-01-01 16:30:00,2024-01-01 16:30:00,0
United Kingdom,GBR,2024-01-01 17:00:00,2024-01-01 17:00:00,0
United Kingdom,GBR,2024-01-01 17:30:00,2024-01-01 17:30:00,0
United Kingdom,GBR,2024-01-01 18:00:00,2024-01-01 18:00:00,0
United Kingdom,GBR,2024-01-01 18:30:00,2024-01-01 18:30:00,0
United Kingdom,GBR,2024-01-01 19:00:00,2024-01-01 19:00:00,0
United Kingdom,GBR,2024-01-01 19:30:00,2024-01-01 19:30:00,0
United Kingdom,GBR,2024-01-01 20:00:00,2024-01-01 20:00:00,0
United Kingdom,GBR,2024-01-01 20:30:00,2024-01-01 20:30:00,0
United Kingdom,GBR,2024-01-01 21:00:00,2024-01-01 21:00:00,0
United Kingdom,GBR,2024-01-01 21:30:00,2024-01-01 21:30:00,0
United Kingdom,GBR,2024-01-01 22:00:00,2024-01-01 22:00:00,0
United Kingdom,GBR,2024-01-01 22:30:00,2024-01-01 22:30:00,0
United Kingdom,GBR,2024-01-01 23:00:00,2024-01-01 23:00:00,0
United Kingdom,GBR,2024-01-01 23:30:00,2024-01-01 23:30:00,0
United Kingdom,GBR,2024-01-02 00:00:00,2024-01-02 00:00:00,0
United Kingdom,GBR,2024-01-02 00:30:00,2024-01-02 00:30:00,0
United Kingdom,GBR,2024-01-02 01:00:00,2024-01-02 01:00:00,0
United Kingdom,GBR,2024-01-02 01:30:00,2024-01-02 01:30:00,0
United Kingdom,GBR,2024-01-02 02:00:00,2024-01-02 02:00:00,0
United Kingdom,GBR,2024-01-02 02:30:00,2024-01-02 02:30:00,0
United Kingdom,GBR,2024-01-02 03:00:00,2024-01-02 03:00:00,0
United Kingdom,GBR,2024-01-02 03:30:00,2024-01-02 03:30:00,0
United Kingdom,GBR,2024-01-02 04:00:00,2024-01-02 04:00:00,0
United Kingdom,GBR,2024-01-02 04:30:00,2024-01-02 04:30:00,0
United Kingdom,GBR,2024-01-02 05:00:00,2024-01-02 05:00:00,0
United Kingdom,GBR,2024-01-02 05:30:00,2024-01-02 05:30:00,0
United Kingdom,GBR,2024-01-02 06:00:00,2024-01-02 06:00:00,0
United Kingdom,GBR,2024-01-02 06:30:00,2024-01-02 06:30:00,0
United Kingdom,GBR,2024-01-02 07:00:00,2024-01-02 07:00:00,0
United Kingdom,GBR,2024-01-02 07:30:00,2024-01-02 07:30:00,0
United Kingdom,GBR,2024-01-02 08:00:00,2024-01-02 08:00:00,0
United Kingdom,GBR,2024-01-02 08:30:00,2024-01-02 08:30:00,0
United Kingdom,GBR,2024-01-02 09:00:00,2024-01-02 09:00:00,0.000064
United Kingdom,GBR,2024-01-02 09:30:00,2024-01-02 09:30:00,0.001913
United Kingdom,GBR,2024-01-02 10:00:00,2024-01-02 10:00:00,0.009701
United Kingdom,GBR,2024-01-02 10:30:00,2024-01-02 10:30:00,0.016443
United Kingdom,GBR,2024-01-02 11:00:00,2024-01-02 11:00:00,0.028062
United Kingdom,GBR,2024-01-02 11:30:00,2024-01-02 11:30:00,0.039248
United Kingdom,GBR,2024-01-02 12:00:00,2024-01-02 12:00:00,0.053038
United Kingdom,GBR,2024-01-02 12:30:00,2024-01-02 12:30:00,0.056992
United Kingdom,GBR,2024-01-02 13:00:00,2024-01-02 13:00:00,0.060194
United Kingdom,GBR,2024-01-02 13:30:00,2024-01-02 13:30:00,0.067574
United Kingdom,GBR,2024-01-02 14:00:00,2024-01-02 14:00:00,0.092418
United Kingdom,GBR,2024-01-02 14:30:00,2024-01-02 14:30:00,0.070153
United Kingdom,GBR,2024-01-02 15:00:00,2024-01-02 15:00:00,0.046679
United Kingdom,GBR,2024-01-02 15:30:00,2024-01-02 15:30:00,0.026629
United Kingdom,GBR,2024-01-02 16:00:00,2024-01-02 16:00:00,0.004972
United Kingdom,GBR,2024-01-02 16:30:00,2024-01-02 16:30:00,0
United Kingdom,GBR,2024-01-02 17:00:00,2024-01-02 17:00:00,0
