Country,ISO3 Code,Datetime (UTC),Datetime (Local),Power (MW)
United Kingdom,GBR,2024-01-01 00:00:00,2024-01-01 00:00:00,0
United Kingdom,GBR,2024-01-01 00:30:00,2024-01-01 00:30:00,0
United Kingdom,GBR,2024-01-01 01:00:00,2024-01-01 01:00:00,0
United Kingdom,GBR,2024-01-01 01:30:00,2024-01-01 01:30:00,0
United Kingdom,GBR,2024-01-01 02:00:00,2024-01-01 02:00:00,0
United Kingdom,GBR,2024-01-01 02:30:00,2024-01-01 02:30:00,0
United Kingdom,GBR,2024-01-01 03:00:00,2024-01-01 03:00:00,0
United Kingdom,GBR,2024-01-01 03:30:00,2024-01-01 03:30:00,0
United Kingdom,GBR,2024-01-01 04:00:00,2024-01-01 04:00:00,0
United Kingdom,GBR,2024-01-01 04:30:00,2024-01-01 04:30:00,0
United Kingdom,GBR,2024-01-01 05:00:00,2024-01-01 05:00:00,0
United Kingdom,GBR,2024-01-01 05:30:00,2024-01-01 05:30:00,0
United Kingdom,GBR,2024-01-01 06:00:00,2024-01-01 06:00:00,0
United Kingdom,GBR,2024-01-01 06:30:00,2024-01-01 06:30:00,0
United Kingdom,GBR,2024-01-01 07:00:00,2024-01-01 07:00:00,0
United Kingdom,GBR,2024-01-01 07:30:00,2024-01-01 07:30:00,0
United Kingdom,GBR,2024-01-01 08:00:00,2024-01-01 08:00:00,0
United Kingdom,GBR,2024-01-01 08:30:00,2024-01-01 08:30:00,0.000037
United Kingdom,GBR,2024-01-01 09:00:00,2024-01-01 09:00:00,0.00981
United Kingdom,GBR,2024-01-01 09:30:00,2024-01-01 09:30:00,0.047853
United Kingdom,GBR,2024-01-01 10:00:00,2024-01-01 10:00:00,0.099546
United Kingdom,GBR,2024-01-01 10:30:00,2024-01-01 10:30:00,0.147524
United Kingdom,GBR,2024-01-01 11:00:00,2024-01-01 11:00:00,0.170773
United Kingdom,GBR,2024-01-01 11:30:00,2024-01-01 11:30:00,0.187221
United Kingdom,GBR,2024-01-01 12:00:00,2024-01-01 12:00:00,0.165347
United Kingdom,GBR,2024-01-01 12:30:00,2024-01-01 12:30:00,0.140758
United Kingdom,GBR,2024-01-01 13:00:00,2024-01-01 13:00:00,0.128696
United Kingdom,GBR,2024-01-01 13:30:00,2024-01-01 13:30:00,0.099603
United Kingdom,GBR,2024-01-01 14:00:00,2024-01-01 14:00:00,0.059644
United Kingdom,GBR,2024-01-01 14:30:00,2024-01-01 14:30:00,0.035528
United Kingdom,GBR,2024-01-01 15:00:00,2024-01-01 15:00:00,0.01455
United Kingdom,GBR,2024-01-01 15:30:00,2024-01-01 15:30:00,0.002663
United Kingdom,GBR,2024-01-01 16:00:00,2024-01-01 16:00:00,0.000018
United Kingdom,GBR,2024-01-01 16:30:00,2024-01-01 16:30:00,0
United Kingdom,GBR,2024-01-01 17:00:00,2024-01-01 17:00:00,0
United Kingdom,GBR,2024-01-01 17:30:00,2024-01-01 17:30:00,0
United Kingdom,GBR,2024-01-01 18:00:00,2024-01-01 18:00:00,0
United Kingdom,GBR,2024-01-01 18:30:00,2024-01-01 18:30:00,0
United Kingdom,GBR,2024-01-01 19:00:00,2024-01-01 19:00:00,0
United Kingdom,GBR,2024-01-01 19:30:00,2024-01-01 19:30:00,0
United Kingdom,GBR,2024-01-01 20:00:00,2024-01-01 20:00:00,0
United Kingdom,GBR,2024-01-01 20:30:00,2024-01-01 20:30:00,0
United Kingdom,GBR,2024-01-01 21:00:00,2024-01-01 21:00:00,0
United Kingdom,GBR,2024-01-01 21:30:00,2024-01-01 21:30:00,0
United Kingdom,GBR,2024-01-01 22:00:00,2024-01-01 22:00:00,0
United Kingdom,GBR,2024-01-01 22:30:00,2024-01-01 22:30:00,0
United Kingdom,GBR,2024-01-01 23:00:00,2024-01-01 23:00:00,0
United Kingdom,GBR,2024-01-01 23:30:00,2024-01-01 23:30:00,0
United Kingdom,GBR,2024-01-02 00:00:00,2024-01-02 00:00:00,0
United Kingdom,GBR,2024-01-02 00:30:00,2024-01-02 00:30:00,0
United Kingdom,GBR,2024-01-02 01:00:00,2024-01-02 01:00:00,0
United Kingdom,GBR,2024-01-02 01:30:00,2024-01-02 01:30:00,0
United Kingdom,GBR,2024-01-02 02:00:00,2024-01-02 02:00:00,0
United Kingdom,GBR,2024-01-02 02:30:00,2024-01-02 02:30:00,0
United Kingdom,GBR,2024-01-02 03:00:00,2024-01-02 03:00:00,0
United Kingdom,GBR,2024-01-02 03:30:00,2024-01-02 03:30:00,0
United Kingdom,GBR,2024-01-02 04:00:00,2024-01-02 04:00:00,0
United Kingdom,GBR,2024-01-02 04:30:00,2024-01-02 04:30:00,0
United Kingdom,GBR,2024-01-02 05:00:00,2024-01-02 05:00:00,0
United Kingdom,GBR,2024-01-02 05:30:00,2024-01-02 05:30:00,0
United Kingdom,GBR,2024-01-02 06:00:00,2024-01-02 06:00:00,0
United Kingdom,GBR,2024-01-02 06:30:00,2024-01-02 06:30:00,0
United Kingdom,GBR,2024-01-02 07:00:00,2024-01-02 07:00:00,0
United Kingdom,GBR,2024-01-02 07:30:00,2024-01-02 07:30:00,0
United Kingdom,GBR,2024-01-02 08:00:00,2024-01-02 08:00:00,0
United Kingdom,GBR,2024-01-02 08:30:00,2024-01-02 08:30:00,0
United Kingdom,GBR,2024-01-02 09:00:00,2024-01-02 09:00:00,0.000032
United Kingdom,GBR,2024-01-02 09:30:00,2024-01-02 09:30:00,0.000956
United Kingdom,GBR,2024-01-02 10:00:00,2024-01-02 10:00:00,0.004851
United Kingdom,GBR,2024-01-02 10:30:00,2024-01-02 10:30:00,0.008221
United Kingdom,GBR,2024-01-02 11:00:00,2024-01-02 11:00:00,0.014031
United Kingdom,GBR,2024-01-02 11:30:00,2024-01-02 11:30:00,0.019624
United Kingdom,GBR,2024-01-02 12:00:00,2024-01-02 12:00:00,0.026519
United Kingdom,GBR,2024-01-02 12:30:00,2024-01-02 12:30:00,0.028496
United Kingdom,GBR,2024-01-02 13:00:00,2024-01-02 13:00:00,0.030097
United Kingdom,GBR,2024-01-02 13:30:00,2024-01-02 13:30:00,0.033787
United Kingdom,GBR,2024-01-02 14:00:00,2024-01-02 14:00:00,0.046209
United Kingdom,GBR,2024-01-02 14:30:00,2024-01-02 14:30:00,0.035077
United Kingdom,GBR,2024-01-02 15:00:00,2024-01-02 15:00:00,0.02334
United Kingdom,GBR,2024-01-02 15:30:00,2024-01-02 15:30:00,0.013314
United Kingdom,GBR,2024-01-02 16:00:00,2024-01-02 16:00:00,0.002486
United Kingdom,GBR,2024-01-02 16:30:00,2024-01-02 16:30:00,0
United Kingdom,GBR,2024-01-02 17:00:00,2024-01-02 17:00:00,0
